Game,Release date,As of,Player count[a],Publisher(s),Ref.,Table_Number
Mobile Legends: Bang Bang,December 2017,January 2017,150million peakdaily players,Moontoon,,1
PUBG Mobile,March 2018,August 2023,300 millionmonthly players,Tencent Games/Krafton,,1
Call of Duty: Mobile,"October 1, 2019",Nov 2024,1billion downloads[b],Activision,,1
Among Us,"June 15, 2018",November 2020,485million[c],InnerSloth,,1
Mini World,"December 26, 2015",April 2020,400million,Minovate,,1
Dragon Ball Z: Dokkan Battle,"January 30, 2015",August 2021,350million,Bandai Namco Entertainment,,1
Sonic Dash,"March 7, 2013",February 2020,350million,Sega,,1
Helix Jump,"February 10, 2018",December 2018,334million,Voodoo,,1
Gardenscapes: New Acres,August 2016,May 2020,324million,Playrix,,1
Homescapes,August 2017,May 2020,312million,Playrix,,1
Super Mario Run,"December 15, 2016",August 2018,300million,Nintendo,,1
Township,"February 24, 2012",May 2020,274million,Playrix,,1
Knives Out,November 2017,September 2018,250million,NetEase,,1
Angry Birds 2,"July 30, 2015",December 2019,230million,Rovio Entertainment,,1
Honor of Kings/Arena of Valor,"November 26, 2015",December 2017,200million peakmonthly players,Tencent Games,,1
QQ Speed Mobile / Speed Drifters,"December 29, 2017",January 2020,200million,TiMi Studios/Tencent Games/Garena,,1
Fishdom,"June 18, 2008",May 2020,173million,Playrix,,1
Rise Up,2018,December 2018,162million,Serkan Özyılmaz,,1
PES 2018 Mobile,"September 12, 2017",August 2018,150million,Konami,,1
War Robots,"April 14, 2014",January 2020,150million,Pixonic,,1
World of Tanks,"August 12, 2010",March 2016,140million,Wargaming,,1
Mario Kart Tour,"September 25, 2019",October 2019,123.9million,Nintendo,,1
Ice Age Village,"April 5, 2012",2013,120million,Gameloft,,1
FIFA Mobile(nowEA FC),"October 1, 2016",January 2018,113million,EA Sports,,1
Subway Surfers,"May 24, 2012",July 2019,100millionmonthly players,SYBO Games,,1
Tiao Yi Tiao,December 2017,January 2018,100million peakdaily players,Tencent Games,,1
Drag Racing,April 2011,February 2013,100million,Creative Mobile,,1
Junior Three Kingdoms,March 2015,January 2018,100million,Youzu Interactive,,1
Ludo King,"December 17, 2016",December 2018,100million,Gametion Technologies Pvt Ltd,,1
One Piece Treasure Cruise,"May 12, 2014",February 2019,100million,Bandai Namco Entertainment,,1
Star Wars: Galaxy of Heroes,"November 24, 2015",November 2021,100million,Electronic Arts,,1
White Cat Project,"July 14, 2014",June 2016,100million,Colopl,,1
Hearthstone,"March 11, 2014",November 2018,100million,Blizzard Entertainment,,1
Yu-Gi-Oh! Duel Links,"November 17, 2016",October 2019,100million,Konami,,1
Love Nikki-Dress UP Queen,"May 20, 2015",May 2019,100million,Tencent Games,,1
Sky: Children of the Light,"July 18, 2019",July 2021,100million,thatgamecompany,,1
Mr Love: Queen's Choice,"December 14, 2017",July 2019,90million,Elex,,1
The Battle Cats,"September 17, 2014",August 2023,84million,PONOS,,1
Disney Tsum Tsum,"January 29, 2014",November 2018,80million,Line Corporation,,1
Puzzle & Dragons,"February 20, 2012",January 2019,80million,GungHo Online Entertainment,,1
The Simpsons: Tapped Out,"February 29, 2012",April 2020,80million,Electronic Arts,,1
Marvel: Avengers Alliance,"March 1, 2012",March 2015,70million,Disney Interactive,,1
Genshin Impact,"September 28, 2020",February 2023,65 million,HoYoverse,,1
Angry Birds Friends,"February 13, 2012",August 2013,60million,Rovio Entertainment,,1
Seven Knights,"February 5, 2016",February 2021,60million,Netmarble Japan,,1
Fate/Grand Order,"July 30, 2015",February 2021,57million,Aniplex/Type-Moon,,1
Bleach: Brave Souls,"July 23, 2015",February 2021,55million,KLab,,1
Gods of Boom,"May 18, 2017",October 2018,55million,Game Insight,,1
Final Fantasy XV: A New Empire,"June 29, 2017",January 2019,51million,MZ,,1
Clash Royale,"March 2, 2016",September 2018,50million daily players,Supercell,,1
Flappy Bird,"May 24, 2013",February 2014,50million,dotGears,,1
LINE Rangers,"February 28, 2014",March 2018,50million,Line Corporation,,1
My Singing Monsters,"September 12, 2012",January 2025,55 million,Big Blue Bubble,,1
